english_text,tatar_text
I can touch the sky with you .,Мин синең белән күккә кагыла алам.
1934 – Hamilton is the birthplace of Canadian Tire .,1934 – Гамильтон Canadian Tire кибетенә нигез салынган урын булып тора.
"But as the Catholic church 's influence grew in Europe , it frowned on the pagan rituals like Samhain .","Ләкин Европага католик чиркәвенең йогынтысы арткан саен, ул Самайн кебек мәҗүси йолаларга каршы төшә башлаган."
"The station , designed by Benthem Crouwel Architects , is situated beneath the Vijzelstraat between Prinsengracht and Weteringschans in the former Vijzelgracht canal that was dammed in 1933 .","Benthem Crouwel Architects тарафыннан проектланган станция 1933 елда күмелгән элеккеге Vijzelgracht каналында, Prinsengracht һәм Weteringschans арасындагы Vijzelstraat астында урнашкан."
The Coca- Cola Company and Coca- Cola bottlers answer the need for refreshment in many different ways .,Coca-Cola Company һәм Coca-Cola шешәләргә тутыручылары сусауны басу ихтыяҗын төрле юллар белән канәгатьләндерәләр.
The final 3 polls average Kerry leading at 52 % to Bush at 43 % to Nader at 2 % .,"Соңгы 3 сораштыруның уртача күрсәткече буенча Керри 52% белән алда бара, Буш 43%, ә Нейдер 2% җыйган."
"So they can shop across different countries , to different kinds of chips , they can look at different kinds of monitors , et cetera .","Шулай итеп, алар төрле илләрдә сәүдә итә ала, төрле чиплар, төрле мониторлар карый ала һәм башкалар."
"Among followers of Hinduism in the Netherlands , this ratio is even higher , at 91 % .",Нидерландтагы Һинд дине тарафдарлары арасында бу нисбәт тагын да югарырак – 91%.
"I don 't know if kids still say this one , as if .","Балалар хәзер дә ""as if"" дип әйтәме икән, белмим."
A police officer pulled him to the side .,Бер полиция хезмәткәре аны читкә алып китте.
"In the heart of Satakunta , in Niinisalo , a suitable building was found .","Satakuntanıñ üzägendä, Niinisaloda, yaraqlı bina tabıldı."
This is compared with 12.7 percent for Hanoi and 23.5 percent for Ho Chi Minh City ( 2009 ) .,"Бу Ханой өчен 12,7 процент һәм Хошимин шәһәре өчен 23,5 процент белән чагыштырыла (2009)."
Lists of people of the Three Kingdoms ( 李傕 、 郭汜既悔令天子東 ， 乃來救段煨 ， 因欲劫帝而西 ， ...,"Өч патшалык кешеләре исемлеге (Ли Цзюэ, Го Сы Императорның көнчыгышка китүенә үкенгәч, Дуань Вэйны коткарырга килделәр, чөнки алар Императорны урлап, көнбатышка алып китәргә теләделәр, ..."
"Yes , Your Highness .","Әйе, Галиҗәнап."
""" Would you praise me this way ? """,Син мине шулай мактар идеңме?
"For a woman to gamble , it is frowned upon .",Хатын-кызның отышлы уеннар уйнавы хупланмый.
"With Rome under siege by Emperor Frederick II , the pope used the council to excommunicate and depose the emperor with Ad Apostolicae Dignitatis Apicem , as well as the Portuguese King Sancho II .","Рим император Фридрих II тарафыннан камалышта булганда, папа бу җыенны ""Ad Apostolicae Dignitatis Apicem"" ярдәмендә императорны, шулай ук Португалия патшасы Санчо II-не чиркәүдән чыгару һәм тәхеттән төшерү өчен кулланган."
Not to have any god ( s ) beside God ( lit. in his face ) .,Аллаһ каршында башка илаһлар тотмаска.
"At that time , he was only 21 years old .",Ул вакытта аңа бары тик 21 яшь кенә иде.
And I always tell people that I don 't want to show up looking like a scientist .,Һәм мин кешеләргә һәрвакыт галим кебек күренергә теләмәвем турында әйтәм.
"Baroque Keyboard Fingering : a Method ( 2008 , 2016 ) .","Барокко клавир аппликатурасы: методика (2008, 2016)."
The town is located 138 km from the capital .,Шәһәр башкаладан 138 км ераклыкта урнашкан.
So I 'm going to stop there .,Шуңа күрә мин шунда туктыйм.
It 's the same one .,Бу шул ук.
There 's your other sister .,Менә синең икенче сеңлең.
"To our lord , the Sun : Message from Irqata .","Хуҗабызга, Кояшка: Иркатадан хәбәр."
""" 100 Days of 100 Jersey Numbers - 73 "" .",100 уенчы номерының 100 көне - 73
For unknown reasons on 25 .,Билгесез сәбәпләр аркасында 25ендә.
"Rather , they provide delight in their well-calibrated contrasts one to another .","Киресенчә, алар бер-берсенә карата яхшы көйләнгән контрастлары белән сокландыралар."
"Terra is the Earth , the third planet of our solar system .","Терра - ул Җир, кояш системабызның өченче планетасы."
"From 1977 to 1983 , McFarland served in the Texas House of Representatives from the former districts 32-B and 32-D in Tarrant County .",1977 елдан 1983 елга кадәр МакФарланд Таррант округындагы элеккеге 32-B һәм 32-D округларыннан Техас Вәкилләр палатасында хезмәт итте.
"I ca n't hear you properly , please speak more slowly .","Мин сезне әйбәт ишетмим, зинһар, әкренрәк сөйләгез."
"In 1975 , it produced 14.6 million tonnes of cement and 6.8 million cubic meters of precast reinforced concrete structures and components .","1975 елда ул 14,6 миллион тонна цемент һәм 6,8 миллион кубометр җыелма тимер-бетон конструкцияләр һәм детальләр җитештерде."
"I hope it entertained you , brother .","Бу синең күңелеңне ачты дип өметләнәм, туган."
"In 1945 , the Dutch made Hollandia the capital of Netherlands New Guinea .",1945 елда голландлар Голландияне Нидерланд Яңа Гвинеясының башкаласы иттеләр.
"Passionate Years , supra at 194 .","Passionate Years, supra, 194-нче биттә."
"Gladstone was educated at Eton College and Christ Church , Oxford .",Гладстон Итон көллиятендә һәм Оксфордтагы Крайст-Черчта белем алган.
I 'm looking for another job .,Мин башка эш эзлим.
The Nobel Prize in Chemistry 2009 .,2009 елгы химия буенча Нобель премиясе
"I swear this is a true statement to the best of my knowledge . ""","Мин моның, белгәннәремә нигезләнеп, дөрес булуына ант итәм."
You 've got to persist through failure .,"Уңышсызлыкларга карамастан, дәвам итәргә кирәк."
USA : Dear Skyyler Productions .,АКШ: Хөрмәтле Skyyler Productions.
Penalty missed : Güray 55 ' .,Пенальти кертелмәде : Гүрай 55 ' .
"Within the district the following industries prevail : chemical , oil , machines , tools and electrical porcelain , textile , food , and construction industry .","Районда түбәндәге сәнәгать тармаклары өстенлек итә: химия, нефть, машина төзелеше, станоклар һәм электр фарфоры, тукыма, азык-төлек һәм төзелеш сәнәгате."
It ends at PR-301 .,Ул PR-301 дә тәмамлана.
"19 Whosoever therefore shall break one of these least commandments , and shall teach men so , he shall be called the least in the kingdom of heaven : but whosoever shall do and teach , the same shall be called great in the kingdom of heaven .","Шуңа күрә, кем дә кем бу әмерләрнең иң кечкенәсен бозса һәм кешеләрне шулай эшләргә өйрәтсә, Күкләр Патшалыгында иң кечкенәсе дип аталыр; ә кем аларны үтәсә һәм башкаларны шуңа өйрәтсә, Күкләр Патшалыгында бөек дип аталыр."
2000 Doctorate program added to School of Human Sciences in graduate school .,2000 елда аспирантураның Кеше фәннәре мәктәбенә докторантура программасы өстәлде.
"During the winter of 1976-77 , one of the coldest in fifty years , the Bay State suffered serious ice damage to her hull at her berth in Buzzards Bay at the southern end of the Cape Cod Canal .","1976-77 елгы кыш вакытында, соңгы илле ел эчендә иң салкын кышларның берсендә, ""Bay State"" корабы Кейп-Код каналының көньяк очындагы Баззардс култыгында, үз причалында торганда, боз аркасында корпусына җитди зыян китерә."
Id. at 481 .,"Шул ук урында, 481 биттә."
I 've decided to give Tom another chance .,Мин Томга тагын бер мөмкинлек бирергә булдым.
"The oak may be rent by the lightning of heaven ; The storm-wind may bow it , its stem may be riven ; But with trunk sere and blasted , and shorn of its bays , Still grasping the earth , it proudly decays .","Имәнне күк күкрәп яшен сугарга мөмкин;
Давыллы җил аны бөгәргә, кәүсәсен ярырга мөмкин;
Ләкин корыган һәм яшен суккан, яфракларыннан мәхрүм булган килеш тә,
Һаман җиргә ябышып, ул горур рәвештә чери."
""" If you want to , you can go out and play","Теләсәң, урамга чыгып уйный аласың"
Halloween is a patchwork holiday .,Хэллоуин – ул төрле йолалардан коралган бәйрәм.
"Canoe River is the most northern tributary of the Columbia River in British Columbia , Canada .",Кану елгасы — Канаданың Британия Колумбиясендәге Колумбия елгасының иң төньяк кушылдыгы.
He was hired to coach FAC Team für Wien on 22 April 2015 .,Ул 2015 елның 22 апрелендә FAC Team für Wien командасына тренер булып эшкә алынды.
The first objective is to advance from defensive positions within Libya to the border with Egypt . : Tel Aviv in the British Mandate of Palestine is bombed by Italian aircraft causing 137 deaths .,"Беренче максат — Ливия эчендәге саклану позицияләреннән Мисыр чигенә кадәр алга бару. : Британия мандатындагы Фәләстыйнның Тель-Авив шәһәре Италия очкычлары тарафыннан бомбага тотыла, нәтиҗәдә 137 кеше һәлак була."
"When they become spooked , the Tuskers erupt into a deadly stampede .","Алар куркып калсалар, казык тешлеләр үлемгә китерүче таптауга күчәләр."
But most of them are one-offs .,Ләкин аларның күбесе бер тапкыр гына була торган хәлләр.
Then you shall sound the loud trumpet on the tenth day of the seventh month .,"Шул вакытта, җиденче айның унынчы көнендә, сез кычкыртып торба уйнатырсыз."
The Marshall Islands were claimed by Spain in 1874 .,Маршалл утрауларына 1874 елда Испания дәгъва белдергән.
She sent us a telegram to tell us she was coming .,Ул безгә киләчәген хәбәр итеп телеграмма җибәрде.
1929 – Long Beach Public Library 's Alamitos branch built .,1929 – Лонг-Бич иҗтимагый китапханәсенең Аламитос филиалы төзелә.
"How are you , Mike ?","Хәлләр ничек, Майк?"
It went up to the Tenger ( sky ) to the dwelling of Esege Malan .,"Ул Тәңрегә (көккә), Эсеге Малан торагына күтәрелде."
"The Kot Adu-Kashmore section of the Kotri – Attock Railway Line was built from 1969 to 1973 , providing an alternate route from Karachi to northern Pakistan .",Котри – Атток тимер юлының Кот-Аду – Кашмор өлеше 1969-1973 елларда төзелгән һәм Карачидан төньяк Пакистанга альтернатив маршрут тәэмин иткән.
"The sixth reading ( עליה , aliyah ) records two prayers of Moses : when the Ark was to set out , Moses would say : "" Advance , O Lord !","Алтынчы уку (алия) Мусаның ике догасын терки: Килешү сандыгы кузгалганда, Муса: ""Кузгал, Раббым!"" - дип әйтер иде."
He concluded that technology is fundamentally Enframing ( Gestell ) .,"Ул технологиянең асылда ""кысалау"" (Gestell) булуы турында нәтиҗә ясады."
""" Quinton de Kock hits ton , Delhi Daredevils shock Royal Challengers Bangalore "" .","Квинтон де Кок йөзлек ясый, Дели Дэрдевилз Роял Челленджерс Бангалорны шаккатыра."
Two miserable kilometres in which to catch Garin .,Гаринны куып җитәр өчен нибары ике чакрым.
"13 November – Subliminal , Israeli rapper .","13 ноябрь – Subliminal, Израиль рэперы."
Image too large to be saved as ICO,Räsem ICO bularaq saqlaw öçen artyq zur
The supply will be quite low .,Тәэмин итү шактый түбән булачак.
Good morning !,Хәерле иртә!
You can make of that what you will .,Моны үзеңчә аңлый аласың.
And all these may be reckoned among the disputed books .,Боларның барысы да бәхәсле китаплар рәтенә кертелергә мөмкин.
1967 - Museum of fine arts of La Chaux-de-Fonds .,1967 - Ла-Шо-де-Фон сынлы сәнгать музее.
August 5 Germany declares war on Belgium .,5 август Германия Бельгиягә сугыш игълан итә.
"On October 29 , 1999 , together with Shamil Gigayev , a cameraman for independent Nokh Cho television station in Grozny , he was killed during a Russian air strike on refugees fleeing Chechnya .","1999 елның 29 октябрендә, Грозныйдагы бәйсез «Нох Чо» телеканалы операторы Шамил Гигаев белән бергә, ул Чечнядан качып китүче качакларга Россия авиациясе һөҗүме вакытында һәлак булды."
"So , imagine you 're standing on a street anywhere in America and a Japanese man comes up to you and says ,","Менә, күз алдыгызга китерегез: сез Американың теләсә кайсы урамында басып торасыз, һәм сезнең янга бер япон кешесе килә дә болай ди:"
What do you find so interesting about him ?,Sinen öçen anıñ neresi şulxatle qızıq?
Tom lost most of his belongings in the fire .,Том әйберләренең күбесен янгында югалтты.
It is important to promote our language in every possible way .,Телебезне мөмкин булган һәр юл белән популярлаштыру мөһим.
"( 15 ) There the hoot owl shall nest and lay eggs , hatch them out and gather them in her shadow ; There shall the kites assemble , none shall be missing its mate .","( 15 ) Анда ябалак оя корыр һәм йомырка салыр, аларны басып чыгарыр һәм үз күләгәсендә җыяр; анда тилгәннәр җыелыр, һәрберсе үз пары белән булыр."
Russian Third League Zone 6 top scorer : 1996 ( 13 goals ) .,Россия өченче лигасының 6 нчы зонасы бомбардиры: 1996 (13 туп).
"In 1932 , Ayra was stricken with pneumonia .",1932 елда Айра үпкә ялкынсынуы белән авырый.
English Churches - North Yorkshire .,Инглиз чиркәүләре - Төньяк Йоркшир.
Live broadcasts take place in 1961 .,Туры эфирлар 1961 елда башлана.
The 2011 Roller Derby World Cup had thirteen countries taking part .,2011 елгы Роллер-дерби буенча дөнья чемпионатында унөч ил катнашты.
"2497 Sells For $ 2.9 Million – HODINKEE "" .","2497 2,9 миллион долларга сатылды – HODINKEE"
"I want to move to Russia , the very Russia that is shown on TV ...","Мин Россиягә күченергә телим, нәкъ менә телевизордан күрсәтелә торган Россиягә..."
There are 5 airports within 110 km of Tokajik .,Токажиктан 110 км ераклыкта 5 һава аланы бар.
They are marked on Ralfe 's 1833 map of the district .,Алар Ральфның 1833 елгы район картасында билгеләнгән.
List of Battles of Muhammad The Sealed Nectar .,Мөхәммәд пәйгамбәрнең сугышлары исемлеге (Әр-Рәхикъ әл-Мәхтүм)
"One day after the accident , a toxic cloud 7 km wide and 50 km long was recorded between Jonava and Kėdainiai .","Һәлакәттән соң бер көн узгач, Йонава һәм Кедайняй арасында киңлеге 7 км һәм озынлыгы 50 км булган агулы болыт теркәлде."
"Now , what we 're going to do in this class , is focused on two types of actors in the economy : consumers and producers .","Хәзер, бу дәрестә без икътисадтагы ике төрле катнашучыга: кулланучыларга һәм җитештерүчеләргә игътибар итәчәкбез."
"As of 2010 Greater Sharpstown has about 94,500 residents .",2010 елга Олы Шарпстаунда якынча 94 500 кеше яши.
What 's your opinion of Tom ?,Том турында синең фикерең нинди?
My husband had petitioned the King to keep lrish taxes for lreland .,Ирем патшага Ирландия салымнарын Ирландиядә калдыруны сорап мөрәҗәгать иткән иде.
"Caray said , "" I am the eyes and ears of the fan .","Кэри: «Мин җанатарның күзләре һәм колаклары», — диде."
Will there be a simultaneous translation into other languages ?,Башка телләргә синхрон тәрҗемә булачакмы?
Mary Hall ( 1843-1927 ) was a lawyer .,Мэри Холл (1843-1927) адвокат булган.
Nation Online ( 28 June 2016 ) .,Nation Online ( 28 июнь 2016 ) .
"Muhammad goes between Moses and God nine times , until the prayers are reduced to the five daily prayers , which God will reward tenfold .","Мөхәммәд Муса белән Аллаһ арасында тугыз тапкыр йөри, нәтиҗәдә намазлар көндәлек биш намазга кадәр киметелә, һәм Аллаһ алар өчен унлата савап бирәчәк."
1277 – 83 ) on the death of Llywelyn ap Gruffudd is one of the most notable poems of the era .,1277 – 83 ) Лливелин ап Грифид үлеменә багышланган әсәр — бу чорның иң күренекле поэмаларының берсе.
His most significant element is his tower of 17 meters .,Аның иң мөһим элементы — 17 метрлы манарасы.
HD 720p / 60fps .,HD 720p / 60fps
She commits theft ( 竊盜 ) .,Ул урлашу белән шөгыльләнә.
"Maximum speed - 1000 km / h , cruising - 835 km / h .","Иң югары тизлек - 1000 км/сәг, крейсер тизлеге - 835 км/сәг."
Could go searching for victims in the London fog,Лондон томанында корбаннар эзләп йөрергә мөмкин иде.
Does anyone know what the used price is ?,Кулланылган бәянең күпме икәнен белүче бармы?
The municipality of Schlans merged on 1 January 2012 into the municipality of Trun .,Шланс муниципалитеты 2012 елның 1 гыйнварында Трун муниципалитетына кушылды.
"In 2009 , £ 1.2 million was raised .","2009 елда 1,2 миллион фунт стерлинг җыелды."
"At this point , only Budapest and Dunaújváros had suitable structure for hockey .",Бу вакытта хоккей өчен яраклы структура бары тик Будапешт һәм Дунауйварошта гына бар иде.
"So I get off the plane , and I come to TED .","Шулай итеп, мин очкычтан төшәм дә TED-ка киләм."
About 1575 – 1562 Ma ago the Progine Zone was intruded by mafic magma during the same time spans as Rapakivi granites intruded more easterly domains in Fennoscandia .,"Yakınça 1575–1562 million yıl elek, Fennoskandiyäneñ könçığış ölkälärenä Rapakivi granitları kergän waqıtta, Progine zonasın mafik magma basıp alğan."
"I also noticed that as I started to do more and harder 30- day challenges , my self- confidence grew .","Шулай ук шуны сиздем: 30 көнлек авыррак сынауларны күбрәк үтә башлагач, үз-үземә ышанычым артты."
"Oh , this is the best site , by the way !","Әйткәндәй, бу иң яхшы сайт!"
We have two children .,Безнең ике балабыз бар.
"The 1952 Summer Olympics ( Finnish : Kesäolympialaiset 1952 ; Swedish : Olympiska sommarspelen 1952 ) , officially known as the Games of the XV Olympiad , were an international multi-sport event held in Helsinki , Finland from July 19 to August 3 , 1952 .","1952 елгы Җәйге Олимпия уеннары (фин. Kesäolympialaiset 1952; швед. Olympiska sommarspelen 1952), рәсми рәвештә XV Олимпиада уеннары буларак билгеле, 1952 елның 19 июленнән 3 августына кадәр Финляндиянең Һельсинки шәһәрендә узган халыкара күп төрле спорт чарасы булды."
"We do not think of him as one who was defeated by misfortune but as one who inspired us with the example of the triumph of the human spirit over adversity "" .","Без аны бәхетсезлеккә җиңелгән кеше дип түгел, ә кеше рухының авырлыкларны җиңеп чыгу үрнәге белән безне рухландырган шәхес дип кабул итәбез."
"Of this number 702 were tried and executed in Protestant territories , while 2,527 were tried and executed in Catholic territories .","Бу саннан 702 кеше протестант җирләрендә хөкем ителеп җәзаланган, ә 2527 кеше католик җирләрендә хөкем ителеп җәзаланган."
I dropped them off at the airport .,Мин аларны аэропортка илтеп куйдым.
"Oh , thus be it ever when freemen shall stand .",Ирекле кешеләр басканда һәрвакыт шулай булсын.
Arrange to meet them .,Алар белән очрашуны оештыр.
"Of the 1,816 British POWs , 842 perished .",1816 Британия хәрби әсиренең 842се һәлак булган.
He never has much to say .,Аның беркайчан да сүзе күп булмый.
The type strain is ATCC 12099 .,Төп штамм — ATCC 12099.
Everything is good .,Барысы да яхшы.
"They became the Confraternity of the Seven Dolours of Mary , affiliated with the Servites .",Алар Сервитлар белән бәйләнешле Мәрьямнең Җиде Кайгысы кардәшлегенә әверелделәр.
In 1947-48 it housed the Jerusalem Emergency Committee .,1947-48 елларда биредә Иерусалим гадәттән тыш хәлләр комитеты урнашкан иде.
The supreme ( para ) brings forth existence through the Word ( Shabda ) .,Иң югары (пара) яшәешне Сүз (Шабда) аша барлыкка китерә.
"The German war cemetery of Langemark ( formerly spelt ' Langemarck ' ) is near the village of Langemark , part of the municipality of Langemark-Poelkapelle , in the Belgian province of West Flanders .","Лангемарк алман хәрби зираты (элек ""Langemarck"" дип язылган) Көнбатыш Фландриянең Бельгия провинциясендәге Лангемарк-Пулкапелле муниципалитетының бер өлеше булган Лангемарк авылы янында урнашкан."
Nothing further is known with certainty concerning him or his companion .,Аның яки иптәшенең турында башка бернәрсә дә төгәл билгеле түгел.
El Dorado was purchased by June 1851 by the San Francisco Towboat Company run by James Blair formerly manager of the Aspinwall Line in San Francisco .,"""Эль Дорадо"" 1851 елның июненә кадәр Сан-Францискодагы ""Aspinwall Line""ның элеккеге идарәчесе Джеймс Блэр җитәкчелегендәге ""San Francisco Towboat Company"" тарафыннан сатып алынган."
Nor are they adept at landing .,Алар төшеп утыруга да оста түгелләр.
I have never been inside this classroom .,Мин бу сыйныф бүлмәсендә беркайчан да булганым юк.
View help for this application,Бу кушымта өчен ярдәмне карау
He transforms the hellfire in his hand into various beings .,Ул кулындагы җәһәннәм утын төрле затларга әверелдерә.
Chloroplasts contain the green pigment chlorophyll which is needed for photosynthesis .,Хлоропластларда фотосинтез өчен кирәк булган яшел пигмент — хлорофилл бар.
Corruption abounds in Bangladeshi government offices .,Banğladeşnıñ däwlät ofislarında rişwätçelek kiñ taralğan.
Should the text box height grow if the text does not fit ?,"Текст сыймаса, текст кырының биеклеге артырга тиешме?"
We must send them abroad .,Без аларны чит илгә җибәрергә тиешбез.
"The cow goes "" moo "" and the cat goes "" meow . ""","Сыер ""му"" ди, ә песи ""миау"" ди."
The merchants tend to him and shower him with wealth .,Сәүдәгәрләр аның хәстәрен күрәләр һәм аны байлыкка күмәләр.
What time do you go to work ?,Сез эшкә сәгать ничәдә барасыз?
And in order that there may be no cause for doubt over the meaning of the said decrees .,Әлеге карарларның мәгънәсенә карата шик тумасын өчен.
There are 60 commercial livestock and poultry farms in the city .,Шәһәрдә 60 товарлы терлекчелек һәм кошчылык фермасы бар.
He created a YouTube account on the same day .,Ул шул ук көнне YouTube аккаунтын булдырды.
Between June and November 1892 he was Assistant Resident Surgeon at Johns Hopkins Hospital in Baltimore .,1892 елның июнь һәм ноябрь айлары арасында ул Балтимордагы Джонс Хопкинс хастаханәсендә резидент-хирург ярдәмчесе булып эшләгән.
"Canadian Forces Station St. John 's ( CFS St. John 's ) is a Canadian Forces Station located in St. John 's , Newfoundland and Labrador .",Сент-Джонс Канада Кораллы Көчләре станциясе (CFS St. John's) — Ньюфаундленд һәм Лабрадорның Сент-Джонс шәһәрендә урнашкан Канада Кораллы Көчләре станциясе.
"Died at age 90 on 7 November , 30th year of the Shōwa Era ( 1955 / 昭和 30 ) .","Шова чорының 30 нчы елында (1955 / 昭和 30), 7 ноябрьдә, 90 яшендә вафат була."
"Those that he did make , he would fulfill ( or die trying ) .",Ул биргән вәгъдәләрен үтәргә (яки бу юлда үләргә) әзер иде.
"Sumpa Khenpo Yeshé Peljor , sum pa mkhan po ye shes dpal ‘ byor .","Sumpa Khenpo Yeshé Peljor , sum pa mkhan po ye shes dpal ‘ byor ."
It was founded in 1970 by the Swedish government .,Ул 1970 елда Швеция хөкүмәте тарафыннан оештырылган.
"On 1 January 2004 , the estimate was 164 .",2004 елның 1 гыйнварында бәяләмә 164 тәшкил итте.
Why are you asking ?,Нигә сорыйсың?
"And may I be anathema in the world to come , and may my soul be set down with Satan and the devils . ""","Әхирәттә ләгънәткә дучар булыйм, җаным Шайтан һәм җеннәр белән бергә булсын."
It 's you I 've come for .,Мин синең өчен килдем.
They leave their mother 's pouch at 120 – 130 days .,Алар 120–130 көннән соң аналарының сумкасыннан чыгалар.
Thomas Tokarz ( 1994-2015 ) New Advent Encyclopedia Worcester,Томас Токарз ( 1994-2015 ) New Advent Encyclopedia Worcester
Throughout the year 2012 the bridge got into shape .,2012 ел дәвамында күпер үз рәвешенә керде.
"For she is wise , if I may judge of her .","Чөнки ул акыллы, әгәр мин аңа бәя бирә алсам."
"From 1704 to 1715 , she was regent of Anhalt-Köthen for her underage son .",1704-1715 елларда ул балигъ булмаган улы өчен Анһальт-Көтен регенты булган.
"His vision then began to fail , causing him to fear he might lose his sight .","Аннары аның күрү сәләте начарлана башлады, һәм ул сукыр калудан курка башлады."
It was used for the entire 17-year run of the program .,Ул программаның бөтен 17 еллык дәвамында кулланылды.
Dates : 17th cent.-18th cent .,Даталар: XVII гасыр - XVIII гасыр.
Participation data History – European Cup Winter Throwing .,Катнашу мәгълүматлары тарихы – Кышкы ыргыту буенча Европа кубогы.
He says he would like an English queen .,Ул инглиз королевасын теләвен әйтә.
"In 681 , during the reign of King Ecgfrith of Northumbria , Theodore of Tarsus , Archbishop of Canterbury , appointed Trumwine "" Bishop of the Picts "" , with his seat at Abercorn .","681 елда, Нортумбрия патшасы Эгфрит идарә иткән вакытта, Кентербери архиепископы Тарслы Теодор Трумвинны ""пиктлар епископы"" итеп билгеләгән һәм аның резиденциясен Аберкорнда урнаштырган."
Eloise Bridges began a two-week run March 12 .,Элоиза Бриджес 12 мартта ике атналык чыгышлар сериясен башлады.
Whether this tag affects the font stretch,Bu tegneñ şrift kiñlegenä täesir itüe-itmäwe
"The line between Småstrandgaten and Kalfaret opened on 3 July 1897 , in 1898 extended to Olav Kyrres gate , and to Sukkerhusbryggen in 1900 .","Småstrandgaten һәм Kalfaret арасындагы линия 1897 елның 3 июлендә ачылды, 1898 елда Olav Kyrres gate кадәр, ә 1900 елда Sukkerhusbryggen кадәр озайтылды."
The Makakahi River is in the Manawatu-Wanganui region of the North Island of New Zealand .,Макакахи елгасы Яңа Зеландиянең Төньяк утравындагы Манавату-Вангануи төбәгендә урнашкан.
Scarcity is key because basically what we 're going to,"Кытлык төп роль уйный, чөнки, асылда, безнең ниятләгән нәрсәбез"
"Bombed and strafed such targets as flak positions , armored vehicles , and troop concentrations during the Battle of the Bulge , December 1944 – January 1945 .","1944 елның декабреннән 1945 елның гыйнварына кадәр барган Арденн операциясе вакытында зенит артиллериясе позицияләре, бронетехника һәм гаскәрләр тупланган урыннар кебек максатларны бомбага тоттылар һәм утка тоттылар."
"Not one or two , but many .","Бер яки ике түгел, ә күп."
Various committees took care of the temple from 1982 to 1987 .,1982 елдан 1987 елга кадәр гыйбадәтханәне төрле комитетлар карап торды.
Find the cat .,Песине тап.
The liberation of Valkenswaard on the 17 September 1944 is where the majority of the soldiers fell in battle .,1944 yılnıñ 17 sentyabrendä Valkenswaardnı azat itü waqıtında ğäskärilärneñ kübese suğış qırında häläq bulğan.
"So basically , microeconomics is all about scarcity .","Шулай итеп, асылда, микроикътисад — ул кытлык турында."
This sentence consists of seven words .,Bu cömle cide süzdän tora.
"Crest : Issuant from a coronet heightened with four ears of corn ( one and two-halves visible ) alternating with four millstones ( two visible ) Or , a maple leaf Gules .",Түбәлек: Дүрт кукуруз чәкәне (берсе һәм ике яртысы күренә) һәм дүрт тегермән ташы (икесе күренә) белән чиратлашып биекләтелгән алтын таҗдан чыгучы кызыл өрәңге яфрагы.
Artillery and conducting shell tests .,Артиллерия һәм снарядларны сынау.
"In the GUSTO-trial 41,021 heart attack patients were treated in 1,081 hospitals in 15 countries .",GUSTO-сынавында 15 илдәге 1081 хастаханәдә йөрәк өянәге булган 41 021 пациент дәваланды.
"In Resident Evil : Retribution , Umbrella forces reach Arcadia and open fire on the survivors .","""Resident Evil: Retribution"" фильмында Umbrella көчләре Аркадиягә барып җитә һәм исән калганнарга ут ача."
It never hurts .,Беркайчан да зыян итми.
So is it because they sing in a high register ?,"Димәк, бу аларның югары регистрда җырлаулары аркасындамы?"
"In 1505 , a Portuguese fleet , under the command of Captain – major Don Lourenço de Almeida , arrived off the coast of Sri Lanka .",1505 елда капитан-майор Дон Лоуренсу де Алмейда җитәкчелегендәге Португалия флоты Шри-Ланка ярларына килеп җитә.
The early life of Joseph is unclear .,Йосыфның иртә тормышы аңлашылмый.
"Philadelphia , Pa . : Philadelphia Museum of Art ; Musée d 'Orsay ; Metropolitan Museum of Art .","Филадельфия, Пенсильвания: Филадельфия сәнгать музее; Орсе музее; Метрополитен сәнгать музее."
"They said : "" O our father !",Алар әйттеләр: «И әтиебез!
How many apples are there ?,Ничә алма бар?
"In 1763 , Filipinos established the small settlement of Saint Malo , Louisiana , after fleeing mistreatment aboard Spanish ships .","1763 елда филиппинлылар, испан корабларындагы кыерсытулардан качып, Луизианада Сент-Мало дигән кечкенә торак пунктка нигез салганнар."
You love an actor ?,Син актерны яратасыңмы?
A hundred crore is called અબજ abaj .,"Йөз крор ""abaj"" (абаҗ) дип атала."
"You take to intrigue and plotting . """,Сез интригаларга һәм षәкертлеккә биреләсез.
Could not allocate memory : % s,Хәтер бүлеп биреп булмады : % s
"On 29 June 1965 the first phase of the plant was put into operation with carrying capacity of 10 tons per year of steel constructions for tower cranes , draglines , elevator crane jibs and other equipment .","1965 елның 29 июнендә манара краннары, драглайннар, элеватор кран уклары һәм башка җиһазлар өчен елына 10 тонна корыч конструкцияләр җитештерү куәтенә ия булган заводның беренче чираты сафка бастырылды."
"Battle of the Eastern Solomons On 24 – 25 August 1942 the Battle of the Eastern Solomons , a major carrier action , was fought .",Көнчыгыш Сөләйман утраулары янындагы сугыш 1942 елның 24-25 августында Көнчыгыш Сөләйман утраулары янындагы сугыш — авиаташучылар катнашындагы зур бәрелеш булды.
""" Spun Gold > Charts "" .",Spun Gold > Диаграммалар
"Cucinotta v. Commonwealth "" Brief of Respondent Wolf , Ballen v. Wolf "" ( PDF ) .","Cucinotta v. Commonwealth "" Respondent Wolf , Ballen v. Wolf эше буенча кыскача аңлатма "" ( PDF ) ."
Between 1366 and 1367 Charles IV ordered a large pond to be established here .,1366-1367 еллар арасында Карл IV биредә зур буа ясарга боерган.
